
19:29:31:615565 05/06/2022 | Связь с сервером установлена
19:29:33:466038 05/06/2022 | Файл /files_for_netology/Doing Math with Python.pdf успешно загружен на Я.Диск
19:29:33:902888 05/06/2022 | Связь с сервером установлена
19:29:35:002258 05/06/2022 | Файл /files_for_netology/Flask Framework Cookbook.pdf успешно загружен на Я.Диск
19:29:35:610823 05/06/2022 | Связь с сервером установлена
19:29:36:849163 05/06/2022 | Файл /files_for_netology/Foundations of Python Network Programming, 3rd Edition.pdf успешно загружен на Я.Диск
19:29:37:353274 05/06/2022 | Связь с сервером установлена
19:29:39:031834 05/06/2022 | Файл /files_for_netology/Introducing Python.pdf успешно загружен на Я.Диск
19:29:39:534455 05/06/2022 | Связь с сервером установлена
19:29:41:350739 05/06/2022 | Файл /files_for_netology/IPython Notebook Essentials.pdf успешно загружен на Я.Диск
19:29:41:864391 05/06/2022 | Связь с сервером установлена
19:29:43:601085 05/06/2022 | Файл /files_for_netology/Learn to Program with Python.pdf успешно загружен на Я.Диск
19:29:44:320186 05/06/2022 | Связь с сервером установлена
19:29:45:857451 05/06/2022 | Файл /files_for_netology/Learning IPython for Interactive Computing and Data Visualization.pdf успешно загружен на Я.Диск
19:29:46:465070 05/06/2022 | Связь с сервером установлена
19:29:47:780766 05/06/2022 | Файл /files_for_netology/Learning Python Data Visualization.pdf успешно загружен на Я.Диск
19:29:48:237667 05/06/2022 | Связь с сервером установлена
19:29:49:538336 05/06/2022 | Файл /files_for_netology/Learning SciPy for Numerical and Scientific Computing, 2nd Edition.pdf успешно загружен на Я.Диск
19:30:50:777692 05/06/2022 | Связь с сервером установлена
19:30:51:494696 05/06/2022 | Файл /files_for_netology/1.txt успешно загружен на Я.Диск
